Day,High (>230 mg/dL),	Low (<70 mg/dL),
Mon	,4.6	,5.05
Tue	,5.99	,4.46
Wed	,4.05	,5
Thu	,12.33	,3.13
Fri	,6.08	,4.06
Sat	,11.82,	4.28
Sun	,5.45	,8.54









